Name,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
F02_P2_AtC2_3_75000_2_50000_T5,F02_P2_AtC2_3_75000_2_50000_T5.D,Sample,,2/27/2026 17:57,740062,461,821034,16754,5310886,826921,776098,40595
H03_P2_FM_0_00011_0_00000_T0,H03_P2_FM_0_00011_0_00000_T0.D,Sample,,2/28/2026 2:52,810550,935107,1000324,15575,5016117,774185,863366,38122
C05_P1_Oa_0_00000_2_50000_T2,C05_P1_Oa_0_00000_2_50000_T2.D,Sample,,2/27/2026 8:25,504482,130,552586,16373,4841187,742815,476001,38080
D08_P1_AtOa_0_00000_2_50000_T3,D08_P1_AtOa_0_00000_2_50000_T3.D,Sample,,2/27/2026 11:24,908841,204,1011307,16017,4725931,719151,954273,36840
D03_P2_FM_0_05859_0_00000_T0,D03_P2_FM_0_05859_0_00000_T0.D,Sample,,2/28/2026 1:41,848175,5238,943698,12903,4249467,640321,872415,31408
B05_P2_OaC2_3_75000_2_50000_T1,B05_P2_OaC2_3_75000_2_50000_T1.D,Sample,,2/26/2026 1:54,598180,998,641921,12005,3368807,496271,663256,21514
F02_P1_At_0_00000_2_50000_T5,F02_P1_At_0_00000_2_50000_T5.D,Sample,,2/28/2026 17:45,972152,714,1074750,10292,3097130,436066,960510,22922
B09_P2_none_0_00000_0_00000_none,B09_P2_none_0_00000_0_00000_none.D,Sample,,2/26/2026 22:19,973186,384,1093487,5229,1387315,185760,911460,9467
G05_P2_OaC2_3_75000_2_50000_T6,G05_P2_OaC2_3_75000_2_50000_T6.D,Sample,,2/28/2026 22:31,857784,489,947763,3825,1082589,134989,888007,7234
C07_P2_AtOa_3_75000_2_50000_T2,C07_P2_AtOa_3_75000_2_50000_T2.D,Sample,,2/26/2026 13:21,1019182,385,1150345,4287,1041865,136151,999143,6998
B03_P2_FM_0_93750_0_00000_T0,B03_P2_FM_0_93750_0_00000_T0.D,Sample,,2/27/2026 23:17,938285,457,1058337,2013,473263,57614,956345,4020
B02_P2_AtC2_3_75000_2_50000_T1,B02_P2_AtC2_3_75000_2_50000_T1.D,Sample,,2/26/2026 7:14,1045254,723,1182564,1457,292889,35081,962526,2223
C06_P2_FM_0_00000_0_15625_T0,C06_P2_FM_0_00000_0_15625_T0.D,Sample,,2/26/2026 16:21,1089658,220,1230831,1430,276303,33608,1062004,2414
A05_P2_OaC2_3_75000_2_50000_T0,A05_P2_OaC2_3_75000_2_50000_T0.D,Sample,,2/28/2026 8:50,935738,523,1000125,1264,269565,32345,870664,1979
B07_P2_AtOa_3_75000_2_50000_T1,B07_P2_AtOa_3_75000_2_50000_T1.D,Sample,,2/28/2026 20:43,902251,362,990997,1543,257645,30827,861684,2269
B03_P1_FM_0_93750_0_00000_T0,B03_P1_FM_0_93750_0_00000_T0.D,Sample,,2/26/2026 9:13,1065690,521061,1266583,804,124088,16007,998523,1128
A07_P1_AtOa_3_75000_0_00000_T0,A07_P1_AtOa_3_75000_0_00000_T0.D,Sample,,2/25/2026 21:34,,234419,853,87,81616,12408,865685,189
C07_P1_AtOa_3_75000_0_00000_T2,C07_P1_AtOa_3_75000_0_00000_T2.D,Sample,,2/26/2026 7:50,973394,482,1086584,450,70697,9922,861044,658
A03_P1_FM_3_75000_0_00000_T0,A03_P1_FM_3_75000_0_00000_T0.D,Sample,,2/28/2026 18:56,1039783,629,1126267,403,50493,6657,969613,697
C04_P2_Oa_3_75000_2_50000_T2,C04_P2_Oa_3_75000_2_50000_T2.D,Sample,,2/28/2026 10:01,888035,492,970786,299,47003,6808,816610,732
A01_P2_At_3_75000_2_50000_T0,A01_P2_At_3_75000_2_50000_T0.D,Sample,,2/27/2026 12:35,999531,99834,1176109,171,14708,2344,872738,146
E06_P2_FM_0_00000_0_00488_T0,E06_P2_FM_0_00000_0_00488_T0.D,Sample,,2/26/2026 15:46,1150136,430,1285263,54,6937,1183,1024959,51
G03_P2_FM_0_00046_0_00000_T0,G03_P2_FM_0_00046_0_00000_T0.D,Sample,,2/26/2026 21:07,789081,465,909239,43,4142,686,665343,
E06_P1_FM_0_00000_0_00488_T0,E06_P1_FM_0_00000_0_00488_T0.D,Sample,,2/26/2026 6:03,930339,466,1042759,,3549,608,835902,27
H06_P1_FM_0_00000_0_00008_T0,H06_P1_FM_0_00000_0_00008_T0.D,Sample,,2/26/2026 14:32,843790,353,927037,16,2046,93,733411,19
G06_P1_FM_0_00000_0_00031_T0,G06_P1_FM_0_00000_0_00031_T0.D,Sample,,2/26/2026 2:30,905969,97,1014802,32,1913,311,878906,
G03_P1_FM_0_00046_0_00000_T0,G03_P1_FM_0_00046_0_00000_T0.D,Sample,,2/26/2026 10:24,1078104,693,1205542,41,1761,359,969575,
H02_P1_At_0_00000_2_50000_T7,H02_P1_At_0_00000_2_50000_T7.D,Sample,,2/26/2026 18:08,836424,387,939520,,1722,138,705962,35
