,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
C03_P1_FM_0_23438_0_00000_T0,C03_P1_FM_0_23438_0_00000_T0.D,Sample,,2/27/2026 15:33,1012787.0,536,1133810,,380,7.0,896992,27.0
A08_P2_AtOaC2_3_75000_2_50000_T0,A08_P2_AtOaC2_3_75000_2_50000_T0.D,Sample,,2/27/2026 16:09,912734.0,562,1009738,,1484,304.0,818835,38.0
E05_P2_OaC2_3_75000_2_50000_T4,E05_P2_OaC2_3_75000_2_50000_T4.D,Sample,,2/27/2026 16:44,885017.0,421,1013041,25.0,316,,736864,
A02_P1_At_0_00000_2_50000_T0,A02_P1_At_0_00000_2_50000_T0.D,Sample,,2/27/2026 17:22,825226.0,425,952849,15.0,880,69.0,719137,
F02_P2_AtC2_3_75000_2_50000_T5,F02_P2_AtC2_3_75000_2_50000_T5.D,Sample,,2/27/2026 17:57,740062.0,461,821034,16754.0,5310886,826921.0,776098,40595.0
G04_P1_Oa_3_75000_0_00000_T6,G04_P1_Oa_3_75000_0_00000_T6.D,Sample,,2/27/2026 18:33,190348.0,174,198651,,398,62.0,109365,79.0
B07_P1_AtOa_3_75000_0_00000_T1,B07_P1_AtOa_3_75000_0_00000_T1.D,Sample,,2/27/2026 19:08,869262.0,1567747,1056273,8.0,170,34.0,700296,
H07_P1_AtOa_3_75000_0_00000_T7,H07_P1_AtOa_3_75000_0_00000_T7.D,Sample,,2/27/2026 19:44,963954.0,1272,1075007,22602.0,7242370,1178855.0,979241,59118.0
G07_P1_AtOa_3_75000_0_00000_T6,G07_P1_AtOa_3_75000_0_00000_T6.D,Sample,,2/27/2026 20:19,512978.0,193280,629497,7.0,401,18.0,402242,17.0
A06_P2_FM_0_00000_2_50000_T0,A06_P2_FM_0_00000_2_50000_T0.D,Sample,,2/27/2026 20:55,1052874.0,18852,1216301,24.0,219,11.0,936952,
C08_P2_AtOaC2_3_75000_2_50000_T2,C08_P2_AtOaC2_3_75000_2_50000_T2.D,Sample,,2/27/2026 21:30,668953.0,325,731199,20879.0,6396685,1014407.0,700163,55042.0
A03_P2_FM_3_75000_0_00000_T0,A03_P2_FM_3_75000_0_00000_T0.D,Sample,,2/27/2026 22:06,876453.0,378,991033,17.0,589,13.0,836131,17.0
H01_P2_At_3_75000_2_50000_T7,H01_P2_At_3_75000_2_50000_T7.D,Sample,,2/27/2026 22:41,884704.0,12446,1020742,62.0,222,16.0,707520,62.0
B03_P2_FM_0_93750_0_00000_T0,B03_P2_FM_0_93750_0_00000_T0.D,Sample,,2/27/2026 23:17,938285.0,457,1058337,2013.0,473263,57614.0,956345,4020.0
D03_P1_FM_0_05859_0_00000_T0,D03_P1_FM_0_05859_0_00000_T0.D,Sample,,2/27/2026 23:55,700766.0,276,761943,,274,20.0,610176,60.0
E08_P1_AtOa_0_00000_2_50000_T4,E08_P1_AtOa_0_00000_2_50000_T4.D,Sample,,2/28/2026 0:30,1018423.0,374,1139656,22579.0,7016511,1113241.0,1059032,60101.0
D07_P2_AtOa_3_75000_2_50000_T3,D07_P2_AtOa_3_75000_2_50000_T3.D,Sample,,2/28/2026 1:06,1001085.0,258,1122103,29.0,602,80.0,860541,
D03_P2_FM_0_05859_0_00000_T0,D03_P2_FM_0_05859_0_00000_T0.D,Sample,,2/28/2026 1:41,848175.0,5238,943698,12903.0,4249467,640321.0,872415,31408.0
C05_P2_OaC2_3_75000_2_50000_T2,C05_P2_OaC2_3_75000_2_50000_T2.D,Sample,,2/28/2026 2:17,1024127.0,1159,1127229,22.0,1610,309.0,909020,115.0
H03_P2_FM_0_00011_0_00000_T0,H03_P2_FM_0_00011_0_00000_T0.D,Sample,,2/28/2026 2:52,810550.0,935107,1000324,15575.0,5016117,774185.0,863366,38122.0
G05_P1_Oa_0_00000_2_50000_T6,G05_P1_Oa_0_00000_2_50000_T6.D,Sample,,2/28/2026 3:28,841815.0,645,920513,16.0,864,152.0,777277,31.0
H02_P2_AtC2_3_75000_2_50000_T7,H02_P2_AtC2_3_75000_2_50000_T7.D,Sample,,2/28/2026 4:03,760953.0,218,835796,33719.0,10442519,1798285.0,760447,102696.0
F05_P2_OaC2_3_75000_2_50000_T5,F05_P2_OaC2_3_75000_2_50000_T5.D,Sample,,2/28/2026 4:39,1014295.0,793,1121847,93371.0,20921472,4389786.0,1096285,354396.0
F03_P1_FM_0_00183_0_00000_T0,F03_P1_FM_0_00183_0_00000_T0.D,Sample,,2/28/2026 5:14,898973.0,332,998944,18440.0,6197750,981663.0,931982,47268.0
D04_P2_Oa_3_75000_2_50000_T3,D04_P2_Oa_3_75000_2_50000_T3.D,Sample,,2/28/2026 5:50,861105.0,1844696,1070161,20298.0,6535355,1039254.0,952115,50643.0
G06_P2_FM_0_00000_0_00031_T0,G06_P2_FM_0_00000_0_00031_T0.D,Sample,,2/28/2026 6:25,748114.0,354,829451,,1194,257.0,628858,26.0
F01_P1_At_3_75000_0_00000_T5,F01_P1_At_3_75000_0_00000_T5.D,Sample,,2/28/2026 7:01,890141.0,1517873,1130689,18304.0,6732768,1075748.0,995543,49457.0
D02_P1_At_0_00000_2_50000_T3,D02_P1_At_0_00000_2_50000_T3.D,Sample,,2/28/2026 7:39,127424.0,400,131082,38.0,213,41.0,59082,47.0
G01_P2_At_3_75000_2_50000_T6,G01_P2_At_3_75000_2_50000_T6.D,Sample,,2/28/2026 8:14,859387.0,579,944432,37078.0,11267236,1971847.0,876842,106651.0
A05_P2_OaC2_3_75000_2_50000_T0,A05_P2_OaC2_3_75000_2_50000_T0.D,Sample,,2/28/2026 8:50,935738.0,523,1000125,1264.0,269565,32345.0,870664,1979.0
F06_P2_FM_0_00000_0_00122_T0,F06_P2_FM_0_00000_0_00122_T0.D,Sample,,2/28/2026 9:25,1063891.0,536,1166364,50590.0,14108622,2600583.0,1104629,162469.0
