id,sample_name,fname,norvaline_area,succinate_area,norleucine_area,glucose1_area,glucose2_area,sorbitol_area,ribose_area,glucose_area,glucose_area_normalized,succinate_area_normalized,ribose_area_normalized
P2C01,C01_P2_At_3.75000_2.50000_T2,F07_P2_AtOa_3_75000_2_50000_T5.D,917383,572,1025965,6169685,997877.0,927311,17560.0,7167562.0,7.729404698100206,0.0006235127531249217,0.01893647330830757
P2B06,B06_P2_FM_0.00000_0.62500_T0,B09_P2_none_0_00000_0_00000_none.D,973186,384,1093487,1387315,185760.0,911460,5229.0,1573075.0,1.725884844096285,0.00039458027550745697,0.005736949509578039
P1A08,A08_P1_AtOa_0.00000_2.50000_T0,A09_P2_none_0_00000_0_00000_none.D,405685,300,432643,5678372,892712.0,413476,18923.0,6571084.0,15.892298464723467,0.0007394899983977716,0.045765655080343234
P1B05,B05_P1_Oa_0.00000_2.50000_T1,H05_P2_OaC2_3_75000_2_50000_T7.D,969638,284,1091841,6707552,1082131.0,968111,22828.0,7789683.0,8.046270520632449,0.00029289281154410205,0.02357994072993696
P1F06,F06_P1_FM_0.00000_0.00122_T0,F07_P1_AtOa_3_75000_0_00000_T5.D,799955,330,892567,1010,175.0,696292,,1185.0,0.0017018722030412528,0.0004125232044302492,
P1B01,B01_P1_At_3.75000_0.00000_T1,C01_P2_At_3_75000_2_50000_T2.D,1024194,343,1155177,13528851,2493098.0,1012613,49610.0,16021949.0,15.822381304605017,0.00033489749012394134,0.04899206310801856
P2D02,D02_P2_AtC2_3.75000_2.50000_T3,B06_P2_FM_0_00000_0_62500_T0.D,988317,613,1125085,781,57.0,884990,25.0,838.0,0.0009469033548401677,0.0006202463379664622,2.8248906767308105e-05
P2G02,G02_P2_AtC2_3.75000_2.50000_T6,A08_P1_AtOa_0_00000_2_50000_T0.D,1032439,212,1139872,284,10.0,914476,,294.0,0.00032149558873059545,0.00020533900792201766,
P1D07,D07_P1_AtOa_3.75000_0.00000_T3,B05_P1_Oa_0_00000_2_50000_T1.D,848669,359,975251,195,20.0,674020,,215.0,0.00031898163259250467,0.00042301533342209977,
P1E05,E05_P1_Oa_0.00000_2.50000_T4,F06_P1_FM_0_00000_0_00122_T0.D,1034950,472,1164830,7714549,1286091.0,1057609,26148.0,9000640.0,8.510366307397158,0.00045606067925986764,0.02472369278249334
